Date,Close,Return,Direction,vader_neg,vader_neu,vader_pos,vader_compound,n_posts,return_lag_1,return_lag_2,return_lag_3,vader_compound_lag_1,vader_compound_lag_2,vader_compound_lag_3,vader_compound_rolling_3,vader_compound_rolling_7,n_posts_log,return_rolling_3,return_rolling_7,volatility_7,Return_3d,Direction_3d,Return_5d,Direction_5d,Return_7d,Direction_7d
2020-10-05,3408.60009765625,1.797270867614209,0,0.0687,0.837,0.0924,0.0381,535,-0.9577652178616392,0.5292907769290922,0.8253718228220741,0.036,-0.0017,0.01,0.0241333333333333,0.0283285714285714,6.284134161070802,0.4562654755605543,0.7030904560927269,1.0822982046043952,0.011215742349780733,1,0.03685380198552801,1,0.02349053040097182,1
2020-10-06,3360.969970703125,-1.3973515692226712,1,0.0918,0.8163,0.0907,-0.0047,804,1.797270867614209,-0.9577652178616392,0.5292907769290922,0.0381,0.036,-0.0017,0.0231333333333333,0.0241857142857142,6.690842277418564,-0.1859486398233668,0.2752298922664296,1.2488890846860348,0.03456440339771816,1,0.044915593490387096,1,0.0364091670720581,1
2020-10-07,3419.43994140625,1.739675486921799,1,0.0537,0.8527,0.0936,0.047,706,-1.3973515692226712,1.797270867614209,-0.9577652178616392,-0.0047,0.0381,0.036,0.0267999999999999,0.0202,6.561030665896573,0.7131982617711126,0.2936036732683452,1.272539583257185,0.03356690898617498,1,0.020245999828930827,1,0.018824754430700086,1
2020-10-08,3446.830078125,0.8010123642494982,1,0.0643,0.8365,0.0992,0.0507,703,1.739675486921799,-1.3973515692226712,1.797270867614209,0.047,-0.0047,0.0381,0.0309999999999999,0.0250571428571428,6.556778356158042,0.3811120939828756,0.4767863616360517,1.234118479560912,0.018886876358882754,1,0.010592343961871586,1,-0.005776367212401379,0
2020-10-09,3477.139892578125,0.879353312061526,1,0.0579,0.8428,0.0961,0.0464,627,0.8010123642494982,1.739675486921799,-1.3973515692226712,0.0507,0.047,-0.0047,0.0480333333333333,0.0302571428571428,6.442540166468199,1.140013721077608,0.4844980029559734,1.2368254100386793,0.0033159520908219164,1,0.0019182909579975593,1,-0.009783838568945491,0
2020-10-12,3534.219970703125,1.641581296364758,0,0.0478,0.86,0.0906,0.0624,618,0.879353312061526,0.8010123642494982,1.739675486921799,0.0464,0.0507,0.047,0.0531666666666666,0.0394142857142857,6.428105272684596,1.1073156575585943,0.64339664858964,1.312663733768103,-0.014396354283057744,0,-0.030360319877536623,0,-0.027915611627803316,0
2020-10-13,3511.929931640625,-0.6306918994084421,0,0.0607,0.8511,0.0882,0.0277,631,1.641581296364758,0.879353312061526,0.8010123642494982,0.0624,0.0464,0.0507,0.0454999999999999,0.0382285714285714,6.448889394146858,0.6300809030059477,0.6901214083686682,1.250520981499802,-0.008006957312425289,0,-0.019593162674797382,0,-0.016640406427171905,0
2020-10-14,3488.669921875,-0.6623141753502759,0,0.0607,0.8382,0.0997,0.0366,709,-0.6306918994084421,1.641581296364758,0.879353312061526,0.0277,0.0624,0.0464,0.0422333333333333,0.0380142857142857,6.565264970035361,0.1161917405353469,0.3387521165165988,1.233010933935874,-0.017700155469799306,0,-0.015223527725634178,0,-0.006673038670383269,0
2020-10-15,3483.340087890625,-0.152775530609972,1,0.0807,0.8232,0.0935,0.0138,769,-0.6623141753502759,-0.6306918994084421,1.641581296364758,0.0366,0.0277,0.0624,0.0260333333333333,0.0406571428571428,6.646390514847729,-0.481927201789563,0.5165486934612702,1.010623391779558,-0.011546380682995738,0,-0.008569389408751626,0,-0.023646877740662986,0
2020-10-16,3483.81005859375,0.013491955745537,0,0.0702,0.8359,0.0939,0.0326,678,-0.152775530609972,-0.6623141753502759,-0.6306918994084421,0.0138,0.0366,0.0277,0.0276666666666666,0.0386,6.520621127558696,-0.26719925007157,0.2699510461503756,0.8621206384005843,-0.013849779175238996,0,-0.0052873623147698945,0,-0.02673226306451315,0
2020-10-19,3426.919921875,-1.6329861778318078,1,0.0608,0.8518,0.0874,0.0306,532,0.013491955745537,-0.152775530609972,-0.6623141753502759,0.0326,0.0138,0.0366,0.0256666666666666,0.0357285714285714,6.278521424165844,-0.5907565842320807,-0.0777630312898109,1.076438600836315,0.00775333797261224,1,-0.007572383295632035,0,-0.04548979729086622,0
2020-10-20,3443.1201171875,0.4727334073110212,0,0.0632,0.833,0.1022,0.0346,642,-1.6329861778318078,0.013491955745537,-0.152775530609972,0.0306,0.0326,0.0138,0.0325999999999999,0.0340428571428571,6.466144724237619,-0.3822536049250828,-0.1358515891113116,1.0259690572475169,0.006467905455710854,1,-0.015230425823688831,0,-0.0386306620851421,0
2020-10-21,3435.56005859375,-0.2195699928100536,1,0.0692,0.8146,0.1162,0.0482,598,0.4727334073110212,-1.6329861778318078,0.013491955745537,0.0346,0.0306,0.0326,0.0377999999999999,0.0320142857142857,6.395261598115449,-0.4599409211102798,-0.4017303447077133,0.6669052354695016,-0.010068253006988215,0,-0.0478903079820473,0,-0.04820177637180756,0
