Date,Close,Return,Direction,finbert_neg,finbert_neu,finbert_pos,finbert_compound,n_posts,finbert_compound_lag_1,finbert_compound_lag_2,finbert_compound_lag_3,finbert_compound_rolling_3,finbert_compound_rolling_7,n_posts_log,return_lag_1,return_lag_2,return_lag_3,return_rolling_3,return_rolling_7,volatility_7
2021-12-16,47665.42578125,-2.518158289781846,0,0.1566950485505389,0.7919087134527437,0.051396253829201,-0.1052987947213378,33,-0.093353297674983,-0.0292378743808414,-0.0492250311116759,-0.0759633222590541,-0.028789606511345156,3.5263605246161616,4.900151967252708,-0.267125345649466,-6.70851717099511,0.7049561106071316,0.06903183054443549,4.052729622505113
2021-12-17,46202.14453125,-3.0699007215741814,1,0.1691048581410071,0.7706707479624912,0.0602244074488508,-0.1088804506921562,29,-0.1052987947213378,-0.093353297674983,-0.0292378743808414,-0.10251084769615902,-0.03915470597565267,3.4011973816621555,-2.518158289781846,4.900151967252708,-0.267125345649466,-0.2293023480344402,-0.24102371418728571,4.218798878540566
2021-12-18,46848.77734375,1.3995731563123393,0,0.1045878218220812,0.8425001885209765,0.0529119971075228,-0.0516758247145584,35,-0.1088804506921562,-0.1052987947213378,-0.093353297674983,-0.08861835670935082,-0.05799779290498845,3.58351893845611,-3.0699007215741814,-2.518158289781846,4.900151967252708,-1.3961619516812298,-0.6819020639141825,3.7810581547001267
2021-12-19,46707.015625,-0.3025942762813871,1,0.263782127705567,0.647026850568021,0.0891910314779071,-0.1745910962276599,17,-0.0516758247145584,-0.1088804506921562,-0.1052987947213378,-0.11171579054479153,-0.08746605278903037,2.8903717578961645,1.3995731563123393,-3.0699007215741814,-2.518158289781846,-0.6576406138477436,-0.9380815258167076,3.6683976786210013
2021-12-20,46880.27734375,0.3709543768351198,1,0.2204262077409242,0.7138316056558064,0.0657421897631138,-0.1546840179778103,28,-0.1745910962276599,-0.0516758247145584,-0.1088804506921562,-0.12698364630667625,-0.10253162234133528,3.367295829986474,-0.3025942762813871,1.3995731563123393,-3.0699007215741814,0.48931108562202336,0.0732715524447539,2.645708830288371
2021-12-21,48936.61328125,4.386356169401262,0,0.1406090635573491,0.7790149462719759,0.0803760023166735,-0.0602330612406755,24,-0.1546840179778103,-0.1745910962276599,-0.0516758247145584,-0.1298360584820486,-0.10695950617845443,3.2188758248682006,0.3709543768351198,-0.3025942762813871,1.3995731563123393,1.484905423318331,0.7380546260234294,3.0927852713579727
2021-12-22,48628.51171875,-0.6295931447672265,1,0.1518512916647725,0.7540160395480968,0.0941326714086311,-0.0577186202561413,27,-0.0602330612406755,-0.1546840179778103,-0.1745910962276599,-0.0908785664915424,-0.10186883797576275,3.332204510175204,4.386356169401262,0.3709543768351198,-0.3025942762813871,1.3759058004897178,-0.051908961407989854,2.502366655427786
2021-12-23,50784.5390625,4.433669194360079,1,0.1040089281275868,0.7755751766264438,0.1204159142449498,0.0164069861173629,30,-0.0577186202561413,-0.0602330612406755,-0.1546840179778103,-0.03384823179315133,-0.08448229785594838,3.4339872044851463,-0.6295931447672265,4.386356169401262,0.3709543768351198,2.7301440729980375,0.9412092506122852,2.7296236746010667
2021-12-24,50822.1953125,0.0741490435773206,0,0.1185913268580204,0.8106912995378176,0.0707173868496384,-0.047873940008382,18,0.0164069861173629,-0.0577186202561413,-0.0602330612406755,-0.02972852471572016,-0.07576708204398064,2.9444389791664403,4.433669194360079,-0.6295931447672265,4.386356169401262,1.2927416977233905,1.3903592170624997,2.158537806663343
2021-12-25,50429.859375,-0.7719775485643066,1,0.1304522569784346,0.7883551909643061,0.0811925762716461,-0.0492596807067885,17,-0.047873940008382,0.0164069861173629,-0.0577186202561413,-0.026908878199269227,-0.07542191861429923,2.8903717578961645,0.0741490435773206,4.433669194360079,-0.6295931447672265,1.2452802297910306,1.0801376877944076,2.3078729885446774
