Date,Close,Return,Direction,vader_neg,vader_neu,vader_pos,vader_compound,n_posts
2021-11-04,61452.23046875,-2.4103783966732184,0,0.0365,0.8747,0.0867,0.0688,1521
2021-11-05,61125.67578125,-0.5313959884109654,1,0.0304,0.876,0.0921,0.0803,1300
2021-11-06,61527.48046875,0.6573419146120196,1,0.0287,0.8982,0.0692,0.061,759
2021-11-07,63326.98828125,2.924722089691256,1,0.032,0.8894,0.0771,0.061,670
2021-11-08,67566.828125,6.695154718111462,0,0.0362,0.8663,0.0951,0.0861,1276
2021-11-09,66971.828125,-0.8806096371717143,0,0.0376,0.8647,0.097,0.0856,1453
2021-11-10,64995.23046875,-2.9513867421399387,0,0.0452,0.8641,0.0899,0.0527,1264
2021-11-11,64949.9609375,-0.0696505434683691,0,0.0366,0.8741,0.0893,0.0806,1238
2021-11-12,64155.94140625,-1.222509636324598,1,0.0353,0.8787,0.0861,0.0747,1171
2021-11-13,64469.52734375,0.488787056391704,1,0.0202,0.8791,0.1007,0.1146,675
2021-11-14,65466.83984375,1.5469517787564335,0,0.0416,0.881,0.072,0.0718,556
2021-11-15,63557.87109375,-2.915932332393234,0,0.0318,0.8766,0.0916,0.0912,933
2021-11-16,60161.24609375,-5.344145330150951,1,0.0424,0.8716,0.085,0.0686,1010
2021-11-17,60368.01171875,0.3436857419438999,0,0.0363,0.8769,0.0849,0.0707,1077
2021-11-18,56942.13671875,-5.674983989800575,1,0.0476,0.8571,0.0935,0.0764,1088
2021-11-19,58119.578125,2.0677857806173483,1,0.0413,0.8739,0.0848,0.0579,1100
2021-11-20,59697.1953125,2.714433308698428,0,0.0429,0.8736,0.0802,0.0643,602
2021-11-21,58730.4765625,-1.619370466132397,0,0.0356,0.8769,0.0853,0.0704,475
2021-11-22,56289.2890625,-4.1565940596482776,1,0.0327,0.8853,0.0788,0.0771,960
2021-11-23,57569.07421875,2.273585574742309,0,0.0462,0.8599,0.0928,0.0765,958
2021-11-24,56280.42578125,-2.238438701660228,1,0.0304,0.8852,0.0844,0.0796,903
2021-11-25,57274.6796875,1.7666069374003168,0,0.0302,0.8783,0.0915,0.0864,219
2021-11-26,53569.765625,-6.468677053655503,1,0.0371,0.884,0.0775,0.057,743
2021-11-27,54815.078125,2.324655494514305,1,0.0425,0.8698,0.0857,0.0681,510
2021-11-28,57248.45703125,4.43925100444249,1,0.0364,0.8915,0.07,0.0448,466
2021-11-29,57806.56640625,0.9748898117819094,0,0.0338,0.8712,0.0936,0.0874,716
2021-11-30,57005.42578125,-1.3858989986877734,1,0.0412,0.8685,0.0903,0.0646,906
2021-12-01,57229.828125,0.3936508510805847,0,0.0481,0.8682,0.0806,0.0502,958
2021-12-02,56477.81640625,-1.3140205787574133,0,0.0506,0.8563,0.0881,0.0542,985
2021-12-03,53598.24609375,-5.0985864817913455,0,0.0387,0.87,0.0877,0.0645,1108
2021-12-04,49200.703125,-8.204639683653358,1,0.0517,0.8737,0.0746,0.0438,551
2021-12-05,49368.84765625,0.3417522933012007,1,0.0528,0.879,0.0681,0.0301,433
2021-12-06,50582.625,2.458589579002135,1,0.0395,0.8837,0.0755,0.0482,768
2021-12-07,50700.0859375,0.2322159783127109,0,0.0331,0.8831,0.0812,0.0775,744
2021-12-08,50504.796875,-0.385184874717448,0,0.0398,0.8866,0.0711,0.0469,825
