Date,Close,Return,Direction,vader_neg,vader_neu,vader_pos,vader_compound,n_posts,return_lag_1,return_lag_2,return_lag_3,vader_compound_lag_1,vader_compound_lag_2,vader_compound_lag_3,vader_compound_rolling_3,vader_compound_rolling_7,n_posts_log,return_rolling_3,return_rolling_7,volatility_7
2021-11-24,56280.42578125,-2.238438701660228,1,0.0304,0.8852,0.0844,0.0796,903,2.273585574742309,-4.1565940596482776,-1.619370466132397,0.0765,0.0771,0.0704,0.07773333333333333,0.07174285714285714,6.806829360392176,-1.373815728855399,-0.9476546504547715,3.3576385109364026
2021-11-25,57274.6796875,1.7666069374003168,0,0.0302,0.8783,0.0915,0.0864,219,-2.238438701660228,2.273585574742309,-4.1565940596482776,0.0796,0.0765,0.0771,0.08083333333333333,0.07317142857142857,5.393627546352362,0.6005846034941325,0.11542976771678459,2.7310239881862146
2021-11-26,53569.765625,-6.468677053655503,1,0.0371,0.884,0.0775,0.057,743,1.7666069374003168,-2.238438701660228,2.273585574742309,0.0864,0.0796,0.0765,0.07433333333333335,0.07304285714285716,6.612041034833092,-2.3135029393051383,-1.1040649228936226,3.509025260558705
2021-11-27,54815.078125,2.324655494514305,1,0.0425,0.8698,0.0857,0.0681,510,-6.468677053655503,1.7666069374003168,-2.238438701660228,0.057,0.0864,0.0796,0.07050000000000001,0.07358571428571428,6.236369590203704,-0.7924715405802939,-1.1597474677770687,3.440761563251175
2021-11-28,57248.45703125,4.43925100444249,1,0.0364,0.8915,0.07,0.0448,466,2.324655494514305,-6.468677053655503,1.7666069374003168,0.0681,0.057,0.0864,0.05663333333333334,0.06992857142857142,6.1463292576688975,0.0984098151004306,-0.2942301148377991,4.01926049136129
2021-11-29,57806.56640625,0.9748898117819094,0,0.0338,0.8712,0.0936,0.0874,716,4.43925100444249,2.324655494514305,-6.468677053655503,0.0448,0.0681,0.057,0.06676666666666668,0.0714,6.57507584059962,2.5795987702462346,0.4388390096522276,3.648237180281139
2021-11-30,57005.42578125,-1.3858989986877734,1,0.0412,0.8685,0.0903,0.0646,906,0.9748898117819094,4.43925100444249,2.324655494514305,0.0874,0.0448,0.0681,0.0656,0.0697,6.810142450115136,1.3427472725122085,-0.08394450083778418,3.6034257494455426
2021-12-01,57229.828125,0.3936508510805847,0,0.0481,0.8682,0.0806,0.0502,958,-1.3858989986877734,0.9748898117819094,4.43925100444249,0.0646,0.0874,0.0448,0.06740000000000002,0.06549999999999999,6.8658910748834385,-0.005786111941760097,0.2920682924109034,3.476219582261568
2021-12-02,56477.81640625,-1.3140205787574133,0,0.0506,0.8563,0.0881,0.0542,985,0.3936508510805847,-1.3858989986877734,0.9748898117819094,0.0502,0.0646,0.0874,0.056333333333333346,0.0609,6.893656354602635,-0.7687562421215343,-0.14802135275448666,3.453358763113665
2021-12-03,53598.24609375,-5.0985864817913455,0,0.0387,0.87,0.0877,0.0645,1108,-1.3140205787574133,0.3936508510805847,-1.3858989986877734,0.0542,0.0502,0.0646,0.05630000000000002,0.06197142857142857,7.011213987350367,-2.006318736489392,0.04770587179753579,3.05077484865542
2021-12-04,49200.703125,-8.204639683653358,1,0.0517,0.8737,0.0746,0.0438,551,-5.0985864817913455,-1.3140205787574133,0.3936508510805847,0.0645,0.0542,0.0502,0.054166666666666675,0.0585,6.313548046277095,-4.872415581400706,-1.4564791536549875,4.141699782089109
2021-12-05,49368.84765625,0.3417522933012007,1,0.0528,0.879,0.0681,0.0301,433,-8.204639683653358,-5.0985864817913455,-1.3140205787574133,0.0438,0.0645,0.0542,0.04613333333333335,0.056400000000000006,6.073044534100405,-4.320491290714501,-2.0418361123894573,3.3911051631558067
2021-12-06,50582.625,2.458589579002135,1,0.0395,0.8837,0.0755,0.0482,768,0.3417522933012007,-8.204639683653358,-5.0985864817913455,0.0301,0.0438,0.0645,0.040700000000000014,0.0508,6.645090969505644,-1.8014326037833415,-1.8298790027865681,3.6477454396170805
2021-12-07,50700.0859375,0.2322159783127109,0,0.0331,0.8831,0.0812,0.0775,744,2.458589579002135,0.3417522933012007,-8.204639683653358,0.0482,0.0301,0.0438,0.05193333333333335,0.052642857142857144,6.61338421837956,1.0108526168720149,-1.5987197203579275,3.7308925635283763
2021-12-08,50504.796875,-0.385184874717448,0,0.0398,0.8866,0.0711,0.0469,825,0.2322159783127109,2.458589579002135,0.3417522933012007,0.0775,0.0482,0.0301,0.057533333333333346,0.05217142857142858,6.716594773520978,0.7685402275324654,-1.7099819669005036,3.6727334788196826
